#MPHA.GSTICS.IEEETimeStr	MPQ	MASS	cal
1993-033T20:17:06.700	23.913	95.360	
1993-033T21:18:02.400	27.174	88.630	
1993-012T18:01:21.600	13.012	88.290	
1993-033T20:21:57.300	29.896	88.280	
1993-012T20:22:10.200	21.961	88.210	
1993-033T20:53:25.600	26.296	88.070	
1993-012T18:14:37.100	19.523	87.740	
1993-012T20:07:14.900	7.9280	86.780	
1993-012T19:44:57.900	31.938	86.500	
1993-012T17:42:45.500	31.938	86.500	
1993-012T17:52:50.500	32.242	86.130	
1993-012T18:09:01.400	25.388	85.930	
1993-033T20:41:40.500	25.388	85.930	
1993-033T20:25:10.900	8.0250	85.760	
1993-012T19:46:58.900	44.846	85.590	
1993-012T20:01:05.800	51.156	84.400	
1993-012T19:38:06.500	32.242	84.180	
1993-012T20:15:37.000	30.738	83.980	
1993-033T20:33:39.300	35.526	83.640	
1993-033T20:25:10.900	14.077	83.290	
1993-033T20:59:28.700	28.067	83.020	
1993-012T20:30:38.400	28.067	83.020	
1993-033T20:55:26.600	24.080	82.480	
1993-012T18:17:02.300	32.242	82.250	
1993-012T17:55:45.900	25.432	82.160	
1993-012T20:06:47.600	26.475	82.120	
1993-012T17:48:51.500	28.949	82.040	
1993-012T18:01:21.600	28.949	82.040	
1993-033T20:21:02.800	31.036	81.870	
1993-033T20:44:30.000	27.362	81.840	
1993-033T20:14:35.500	29.561	81.340	
1993-012T17:16:14.600	23.913	81.310	
1993-012T20:16:04.200	28.263	81.210	
1993-012T20:03:58.300	31.055	80.410	
1993-033T20:36:53.000	8.6200	80.240	
1993-012T19:42:32.700	31.036	80.050	
1993-012T18:13:51.800	28.037	79.920	
1993-012T18:13:24.500	31.335	79.700	
1993-033T20:29:55.400	46.658	79.560	
1993-033T20:31:11.000	31.533	79.410	
1993-033T20:39:15.200	26.917	79.230	
1993-033T20:37:17.200	24.247	79.020	
1993-012T20:27:21.800	27.362	78.980	
1993-012T18:14:40.100	17.151	78.730	
1993-033T20:19:26.000	31.036	78.250	
1993-033T20:02:53.400	31.036	78.250	
1993-033T20:17:24.900	31.036	78.250	
1993-012T17:43:12.800	28.263	78.220	
1993-012T17:12:36.900	31.591	78.210	
1993-012T20:07:57.200	29.561	77.960	
1993-033T20:09:45.000	29.561	77.960	
1993-033T20:14:17.300	24.080	77.910	
1993-033T20:34:21.700	31.335	77.870	
1993-012T16:52:24.100	20.099	77.460	
1993-033T20:31:35.300	22.666	77.410	
1993-012T18:25:30.600	14.866	77.360	
1993-012T17:11:42.400	28.121	77.110	
1993-033T20:20:41.600	23.280	77.000	
1993-012T18:11:02.400	28.037	76.980	
1993-033T20:19:07.800	23.253	76.780	
1993-012T19:48:59.900	34.408	76.260	
1993-012T20:02:21.500	27.362	76.160	
1993-012T17:56:31.300	27.811	75.760	
1993-033T20:26:17.500	30.146	75.740	
1993-012T17:46:26.300	25.388	75.620	
1993-012T17:48:51.500	24.534	75.490	
1993-033T20:41:43.500	27.708	75.280	
1993-012T17:21:02.000	27.139	74.940	
1993-012T19:45:22.100	18.587	74.870	
1993-033T20:25:53.300	18.819	74.760	
1993-012T18:15:01.300	33.471	74.270	
1993-033T20:48:35.100	24.920	74.070	
1993-012T18:05:44.800	30.146	74.040	
1993-012T18:05:47.800	26.475	74.020	
